Title,Location,Company,Salary,Summary
Environmental Specialist,"Miami Lakes, FL 33016",Creative Engineering Group,None,"Reviews reported environmental data, especially water samples.Reviews and monitors/tracks environmental permits, licenses and reports."
Staff Environmental Engineer - Water (Denver),"Denver, CO",Burns & McDonnell,None,"In addition, the candidate will be responsible for process piping design, hydraulic profile development, process equipment selection, specification and drawing…"
Senior Environmental Cleanup Engineer (Environmental Enginee...,"Shoreline, WA",State of Washington Dept. of Ecology,"$80,292 - $105,384 a year","A Bachelor’s degree with major study in one of the following engineering fields; sanitary, water resource, civil, geotechnical, environmental, chemical,…"
Environmental Engineer/Geologist,California,Sustainable Environmental Engineering Consulting &...,None,"Conduct field site investigations and audit activities, analyze field and laboratory data reports, complete compliance reports, prepare air and water discharge…"
Water Resources Engineer-Jr,"Denver, CO",Tetra Tech,"$62,000 - $75,000 a year","The successful candidate will work closely with engineers, scientists and project managers on water/wastewater hydraulics and conveyance design, civil/pipeline…"
Environmental Summer Associate,"Florence, AZ 85132",Florence Copper,None,In September 2017 construction began on Phase 1 which consisted of the $25 million Production Test Facility (PTF) and associated wellfield.
Environmental Engineer,"Bowling Green, KY 42101",Kobe Aluminum Automotive Products,None,Responsible for enforcing company environmental policies.Responsible for monthly environmental KPIs and metrics.Multi-tasked and detailed oriented.
Environmental Engineer Air Protection Branch,"Clayton, GA",Environmental Protection Division - EPD,"$54,424 a year","Bachelor's degree in agricultural, chemical, civil, environmental, civil-sanitary or mechanical engineering from an accredited college or university AND One…"
Environmental Health & Safety Engineer,"Brownsville, TX",SpaceX,None,"3+ years of experience in the design, development and general operational oversight of environmental, health and safety disciplines."
"Environmental Engineer, Geologist, or Scientist","New York, NY",Haley & Aldrich,None,"Compile, reduce, analyze, manage, and report field, instrumentation, geological, and/or environmental data using spreadsheets and other tools."
Environmental Specialist,"East Brunswick, NJ 08816",Tomar Construction Group,"$78,520 a year","Requirements: Masters Degree in Environmental Engineering, and 12 months exp. in the job offered, or as environmental Officer."
Water Supply Entry Level Engineer,"White Plains, NY",D&B Engineers and Architects PC,None,Bachelors in Environmental or Civil Engineering.Excellent verbal and written communication skills.
Staff Environmental Scientist/Engineer (Entry Level),"Cleveland, OH",ERM Group,None,"Bachelor’s degree in geology, hydrogeology, engineering, environmental science, environmental management or related discipline;"
Environmental and Storm-water Engineer (Associate Level),"Walnut Creek, CA",ERM Group,None,"BS in chemical, civil, environmental, mechanical engineering or related degree.Assist in ensuring compliance with all federal, state and local regulations."
Industrial Hygienist / Environmental Engineer / Physical Sci...,"McClellan, CA",US Department of Defense,"$84,452 - $130,552 a year","Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior…"
Environmental Engineer,"Sacramento, CA",Linda Rogers & Associates,None,Effects of waste material on water quality and land quality and the interactions of waste with the environment.
"Environmental Engineer, Water","Elko, NV 89801",Barrick Gold Corporation,None,"Provide supervision and support of well drilling and design.Responsible for a periodic after-hours on-call response to environmental incidents, as needed."
Environmental Engineer,"El Segundo, CA",Carbon Partner Engineering and Science,None,Carbon Partner is looking to hire an environmental engineer with a minimum of 5 years experience conducting environmental audits.
Environmental Engineer,"Santa Ana, CA 92705","Tait & Associates, Inc.",None,This position will use research and design skills to manage waste treatment and pollution control efforts as well as find efficient ways to monitor…
ENVIRONMENTAL ENGINEER,United States,Juneau Associates,None,"Immediate opening for a licensed, professional engineer with 5+ years experience in water and waste-water design.Specifications and cost estimate preparation."
Product Environmental Engineer,"Allen Park, MI",Ford Motor Company,None,"Commitment to sustainability and vehicle environmental compliance.This will involve collaborating with Ford Product Development, government agencies and Ford…"
ENVIRONMENTAL QUALITY SPECIALIST (5401),"Jefferson Parish, LA",Jefferson Parish,"$40,009 - $62,067 a year","Under general supervision, this position is professional environmental work involving the enforcement of environmental regulatory laws and implementing programs…"
Field Environmental Engineer/Geologist,"Greenville, SC 29615",Terracon,None,"0-3 years of experience in environmental consulting.Perform a variety of field work including environmental assessments, environmental investigations, site…"
"Health, Safety & Environmental Engineer Promontory UT","Corinne, UT 84307",Autoliv United States,None,"Provides HS&E assistance, training, and resources to customers, associates, legal, engineering, and management as needed (i.e., anticipation, recognition,…"
Environmental Engineering I,"Sacramento, CA 94278 (Marshall School area)",AECOM,None,"With world-class technical expertise, leading-edge technology, and innovative project delivery capability around the world, AECOM’s global environmental…"
Senior Environmental Engineer,"Seattle, WA 98101 (Denny Triangle area)",GeoEngineers,None,Develop a strong business network and represent GeoEngineers as a leader in the profession by participating and assuming leadership responsibilities in…
"Environmental Engineer, Staff",United States,Chloeta,None,"Reviews and analyzes environmental documentation issued by the federal EPA, state and local regulatory agencies.Occasional overnight travel may be required."
Environmental Scientist or Engineer,"Toms River, NJ 08753",Crest Engineering Associates,None,"NJDEP, Bureau of Land Use Permitting related to Wetlands, riparian zones, flod plains.Experience or knowledge regarding endangered and threatened species…"
Environmental Engineer / Geologist / Scientist,"San Francisco, CA 94111 (Financial District area)",TRC Companies Inc,None,"Completing engineering calculations (i.e., remedial, stormwater and earthwork design).Grading, drainage and site layout design and analyses."
Graduate Engineer- Environmental Services,"Philadelphia, PA","Urban Engineers, Inc.",None,"Urban Engineers, Inc. is seeking an entry level environmental engineer, geologist, or environmental scientist.O Assist in writing environmental report."
